record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10769,FRAM - Robert Édouard DEPLANCK | Robert Édouard DEPLANCK,True,,2,1,1,0,True,True,47
/2020601/https___1914_1918_europeana_eu_contributions_10774,FRAD066_101B Pierre CODERC | Documents of Pierre CODERC,True,,2,1,1,0,True,True,84
/2020601/https___1914_1918_europeana_eu_contributions_10775,AMSM-019_2 : Marius et Léon JAYNE | Marius and Léon Jayne at the Front,True,,2,1,1,1,True,True,244
/2020601/https___1914_1918_europeana_eu_contributions_10782,"FRAM - Amédée Desforges, soldat téléphoniste au 165e régiment d'infanterie | Documents about Amédée Desforges",True,,2,1,1,0,True,True,112
/2020601/https___1914_1918_europeana_eu_contributions_10794,Ledermappe mit Fotos und Dokumenten von Wilhelm Große Munkenbeck | Leathercase with photos and documents of Wilhelm Große Munkenbeck,True,,2,0,2,1,False,True,333
/2020601/https___1914_1918_europeana_eu_contributions_10795,"FRAD062_107 - Carnel Ulysse, 1911-1916. | FRAD062_107 - Ulysse Carnel, 1911-1919.",True,,2,1,1,0,True,True,203
/2020601/https___1914_1918_europeana_eu_contributions_10798,FRAD066_102 Charles MIRC | Documents of Charles MIRC,True,,2,1,1,0,True,True,101
/2020601/https___1914_1918_europeana_eu_contributions_10802,"FRAD071-007, Charles QUELIN | Documents from Charles Quelin",True,,2,1,1,0,True,True,104
/2020601/https___1914_1918_europeana_eu_contributions_10813,"FRAD043_065 Louis Jonget, Paul et Simon Borel, soldats de la Grande guerre. | Documents about Louis Jonget, Paul et Simon Borel",True,,2,1,1,0,True,True,1014
/2020601/https___1914_1918_europeana_eu_contributions_10817,FRAM - Histoire de Georges Chasserot (1891-1978) | Documents from Georges Chasserot,True,,2,1,1,0,True,True,260
/2020601/https___1914_1918_europeana_eu_contributions_10822,FRAM - Ernest LORRAIN | Ernest LORRAIN,True,,2,1,1,0,True,True,324
/2020601/https___1914_1918_europeana_eu_contributions_10833,FRAD034-037_Joseph VIDAL et Aimé HYACINTHE | Documents from Joseph Vidal and Aimé Hyacinthe,True,,2,1,1,0,True,True,343
/2020601/https___1914_1918_europeana_eu_contributions_10835,AMSM-016_1 Lettres à Amélie | Letters From Louis Anselmet to his Sister,True,,2,1,1,0,True,True,112
/2020601/https___1914_1918_europeana_eu_contributions_10840,"AMSM 016-2 Recueil de lettres | Letters of André Larfeuil, POW in Germany",True,,2,1,1,0,True,True,947
