record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10683,"FRAM - Xavier Cambon, un observateur photographe | Documents from Xavier Cambon",True,Meets minimum narrative length,163,29
/2020601/https___1914_1918_europeana_eu_contributions_10686,"Sammlung von Feldpostkarten, Fotos und Dokumenten verschiedener Personen | Collection of Fieldpost, photos and documents of different persons",True,Meets minimum narrative length,139,25
/2020601/https___1914_1918_europeana_eu_contributions_10689,FRAD087_042-Avant le départ pour la guerre. Juillet 1914. Jean MONTASTIER | Jean Monstatier's photography,True,Meets minimum narrative length,45,29
/2020601/https___1914_1918_europeana_eu_contributions_10695,"FRAD062_019 - Arthur Flippe, 1914-1917. | FRAD062_019 - Arthur Flippe, 1914-1917.",True,Meets minimum narrative length,48,4
/2020601/https___1914_1918_europeana_eu_contributions_10696,FRAM - Quatre frères au combat | Four brothers in Great War,True,Meets minimum narrative length,251,21
/2020601/https___1914_1918_europeana_eu_contributions_10708,FRAM - Jean-Baptiste Potier (1896-1966) | Document from Jean-Baptiste Potier,True,Meets minimum narrative length,53,24
/2020601/https___1914_1918_europeana_eu_contributions_10712,"L' affaire du Bonnet d'évêque, le 11 décembre 1914 | The Bishop's Bonnet Affair, December 11, 1914 the Life of Edmond Schaeffer",True,Meets minimum narrative length,558,91
/2020601/https___1914_1918_europeana_eu_contributions_10713,"FRAD083_036 Julien Schneider, prisonnier en Allemagne durant la totalité de la guerre | Julien Schneider, prisonner in Germany",False,Main story has fewer than 40 words,31,23
/2020601/https___1914_1918_europeana_eu_contributions_10718,"FRAD083_042 - Jean-Marie Georges Marvoyer | Jean-Marie Georges Marvoyer, French soldier",True,Meets minimum narrative length,99,9
/2020601/https___1914_1918_europeana_eu_contributions_10724,"FRAM - François Henri Morisset (1870-1958), un peintre au front | Documents from François Henri Morisset",True,Meets minimum narrative length,103,31
/2020601/https___1914_1918_europeana_eu_contributions_10727,FRAD066_098b Léon Bultel | Documents from Léon Bultel,True,Meets minimum narrative length,149,16
/2020601/https___1914_1918_europeana_eu_contributions_10728,"FRBMBX-058 - Fernand Caron, le courage d'un soldat ordinaire | Fernand Caron, a brave simple soldier",True,Meets minimum narrative length,135,25
/2020601/https___1914_1918_europeana_eu_contributions_10729,FRAD008_001 Une famille d'Hannogne-Saint-Martin dans la guerre | Documents from Genesseau family,True,Meets minimum narrative length,516,24
/2020601/https___1914_1918_europeana_eu_contributions_1073,"Postkarten- und Fotoalben der Krankenschwester Frieda Gruner | Two albums with photos and postcards written and collected by a nurse working in the field hospital Jarny / France. Postcards with hospital scenes, memorial rites, artillery, military economic activities, eminent German military figures.",True,Meets minimum narrative length,251,0
/2020601/https___1914_1918_europeana_eu_contributions_10736,"Gefreiter Fritz Düngel, Bursche von Major Wilhelm von Ditfurth | Fritz Düngel under the command of Major Wilhelm von Ditfurth",True,Meets minimum narrative length,146,55
/2020601/https___1914_1918_europeana_eu_contributions_10741,"FRAD083_41_Joseph Emile Bournadet | Joseph Emile Bournadet, french soldier",True,Meets minimum narrative length,134,24
/2020601/https___1914_1918_europeana_eu_contributions_10743,"FRAD078-01_1 Léon Ottenheim, la passion de la photographie | Léon Ottenheim, fond of photography",True,Meets minimum narrative length,145,21
/2020601/https___1914_1918_europeana_eu_contributions_10745,"FRAD062_032 - Ernest Gaaeremynck, 1914-1919. | FRAD062_032 - Ernest Gaaeremynck, 1914-1918.",True,Meets minimum narrative length,88,4
/2020601/https___1914_1918_europeana_eu_contributions_10750,FRAD017 - Histoire de Charles Jaffard | Charles Jaffard,True,Meets minimum narrative length,94,6
/2020601/https___1914_1918_europeana_eu_contributions_10752,FRAD087_086-Correspondance du soldat Mousnier | Story of the soldier Jean-Martin Mousnier,True,Meets minimum narrative length,82,12
